customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,monthly_revenue,complaints,last_login_days,churn
C001,12,70,840,Month-to-month,Fiber optic,Credit card,70,2,3,0
C002,2,90,180,Month-to-month,Fiber optic,Electronic check,90,5,15,1
C003,45,60,2700,Two year,DSL,Bank transfer,60,0,1,0
C004,8,85,680,Month-to-month,Fiber optic,Electronic check,85,3,20,1
C005,60,55,3300,Two year,DSL,Credit card,55,0,2,0
C006,3,95,285,Month-to-month,Fiber optic,Electronic check,95,4,30,1
C007,24,75,1800,One year,DSL,Bank transfer,75,1,5,0
C008,15,65,975,One year,Fiber optic,Credit card,65,1,7,0
C009,1,100,100,Month-to-month,Fiber optic,Electronic check,100,6,40,1
C010,36,50,1800,Two year,DSL,Bank transfer,50,0,3,0
C011,18,80,1440,One year,Fiber optic,Credit card,80,2,10,0
C012,4,88,352,Month-to-month,Fiber optic,Electronic check,88,4,25,1
C013,72,45,3240,Two year,DSL,Bank transfer,45,0,1,0
C014,10,92,920,Month-to-month,Fiber optic,Electronic check,92,3,18,1
C015,30,58,1740,One year,DSL,Credit card,58,1,4,0
C016,6,97,582,Month-to-month,Fiber optic,Electronic check,97,5,28,1
C017,50,62,3100,Two year,DSL,Bank transfer,62,0,2,0
C018,20,78,1560,One year,Fiber optic,Credit card,78,2,9,0
C019,5,93,465,Month-to-month,Fiber optic,Electronic check,93,4,22,1
C020,40,59,2360,Two year,DSL,Bank transfer,59,0,3,0
